"Pseudotime","Group"
0.156441922404245,"CM"
0.296950886786171,"AM"
0.588604925661962,"AM"
0.34414457219494,"AM"
0.29401415432357,"CM"
1.09295033553998,"AM"
0.261278842198588,"AM"
0.285769210402478,"AM"
0.337652480746887,"AM"
0.290256516793336,"CM"
0.271311977043749,"AM"
0.214939804287802,"AM"
0.317933023036044,"CM"
0.264509998282518,"AM"
0.158379831101281,"AM"
0.326260013195252,"AM"
0.279490126518863,"AM"
0.261962381566481,"AM"
0.250976539842239,"AM"
1.21878630374323,"AM"
0.33760681591524,"AM"
0.762247493256563,"CM"
0.802509764029833,"CM"
0.521382967173818,"AM"
0.296192831229239,"AM"
0.277733464521009,"AM"
0.273665284376627,"AM"
0.796193508851686,"AM"
1.98343739553325,"AM"
0.225597030068663,"CM"
0.342542223573875,"AM"
2.62893479498772,"AM"
0.331931151176378,"AM"
0.225087583785945,"AM"
0.174633965356636,"AM"
0.264336106441593,"AM"
0.19699743107898,"AM"
0.301430043039337,"AM"
0.447728234138869,"AM"
0.200373645874321,"AM"
0.32246783010474,"AM"
1.05250950517187,"AM"
0.250550010287939,"AM"
0.249149328651259,"CM"
0.335642863737148,"AM"
0.287577673943881,"CM"
0.51610009136826,"AM"
0.18084841369549,"CM"
1.16101564178,"AM"
0.330054844560404,"CM"
0.262846209774522,"CM"
0.303907715205074,"AM"
1.36342555805074,"AM"
0.72065503646609,"AM"
0.53120995341019,"AM"
0.335948217293141,"AM"
0.276981386817705,"AM"
0.844606895013637,"AM"
0.265994440162838,"AM"
0.30118404671154,"CM"
0.320918465217861,"AM"
0.302851485305645,"AM"
0.268477281043397,"AM"
0.263900005432655,"AM"
0.300305421324635,"AM"
0.289374679917603,"AM"
1.26527972742264,"AM"
0.737100320065103,"AM"
2.95886560442968,"AM"
0.229167215523507,"CM"
0.285986840458008,"CM"
0.251163724592498,"AM"
0.333267654643356,"AM"
1.58225386295495,"CM"
0.336050296811127,"CM"
0.281884506054657,"AM"
0.293848252767636,"AM"
0.290779883187288,"CM"
0.294802605017219,"AM"
0.659220549593129,"CM"
0.594586092991221,"AM"
2.97937966537714,"AM"
1.04795990259196,"AM"
0.920638908505021,"AM"
0.46522068700937,"AM"
0.288451491199889,"AM"
0.298982816265858,"AM"
0.597966734595009,"AM"
0.283315562385889,"AM"
0.30569624763001,"AM"
0.215862053681464,"CM"
0.306661819584809,"AM"
