"group","Signature","Score","p","p_adj"
"CM","Exhausted",-0.257650565483587,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.13779432937795,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.282052872733071,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.0685617536085134,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.221282846811797,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.349413526640498,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.242660705893638,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.823171835089137,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.212306922105155,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.34815413760208,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.243023792433947,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.284163050760034,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.21920594495869,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.42682668965332,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.240065584137366,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.360489674666519,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.249767815307289,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.389046077248475,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.242055809141813,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.329246416768383,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.2935176610538,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.46328659551099,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.315399025142699,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.0313551234397322,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.246559461887712,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.441538794339705,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.135107145410144,9.98155367909283e-118,"1.33e-117"
