"","MHC class II protein complex assembly","peptide antigen assembly with MHC class II protein complex","MHC protein complex assembly","peptide antigen assembly with MHC protein complex","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","mitotic spindle midzone assembly","mitotic spindle elongation","positive regulation of mitotic cell cycle spindle assembly checkpoint","regulation of attachment of mitotic spindle microtubules to kinetochore","attachment of mitotic spindle microtubules to kinetochore","cytoplasmic translation","ribosomal small subunit biogenesis","ribosome assembly","ribosomal large subunit biogenesis","translational elongation","stress response to copper ion","negative regulation of stress-activated protein kinase signaling cascade","protein refolding","stress response to metal ion","label"
"Sample42",0,0,0,0,-0.401290080660779,-0.287727655890036,-0.287727655890036,-0.293881376516381,-0.275171013554577,-0.368691487315302,0.485206883349822,0.345058924908659,0.103451606194799,0.0740732071964826,0.253111436962692,-0.070737985336512,-0.280980670070403,-0.311865429026262,-0.070737985336512,0
"Sample43",0,0,0,0,-0.265512773891567,-0.335662514569672,-0.335662514569672,-0.32975005999055,-0.323722610386863,-0.374841416498156,0.470359888055942,0.360339140569223,0.102891693901131,0.117194562508986,0.251331969020045,-0.11679171745859,-0.307502832137768,-0.213950995183281,-0.11679171745859,0
"Sample44",0,0,0,0,-0.465409946799632,-0.187721419602071,-0.187721419602071,-0.229947060781232,-0.182893495717206,-0.300621617386521,0.463250318377011,0.184027965472022,0.024833877900428,0.00680360811642613,0.419322399085295,-0.355674413218029,-0.152160342105696,-0.274103166910034,-0.355674413218029,0
"Sample45",0,0,0,0,-0.271592137370667,-0.313688098594147,-0.313688098594147,-0.292783585036824,-0.291230371864042,-0.399681245363153,0.492150747476636,0.298555408023233,0.040100821491433,-0.0316320155519191,0.216463392137671,-0.124608307977624,-0.315161155513044,-0.188057261495294,-0.124608307977624,1
"Sample46",0,0,0,0,-0.309015735958314,-0.298953097140199,-0.298953097140199,-0.275906523596793,-0.253191078258456,-0.368965255203203,0.485106626471383,0.35636895286337,0.111643388099623,0.0858761565913613,0.24568468526787,-0.126458799056585,-0.321320037026952,-0.202572215771466,-0.126458799056585,0
"Sample47",0,0,0,0,-0.439002764876068,-0.254780049379776,-0.254780049379776,-0.248816056854771,-0.241303249797022,-0.367538978988224,0.482589560561502,0.253922635919839,0.0664441285428773,0.0645782499584655,0.22777263594211,-0.295976866238462,-0.215291753659369,-0.106733308988228,-0.295976866238462,0
"Sample48",0,0,0,0,-0.491051896680698,-0.155236626385029,-0.155236626385029,-0.188546506947738,-0.161290727467317,-0.289203699099738,0.468584007278551,0.204512116828001,0.0961401404945056,0.0902301351941189,0.353068256795684,-0.32791444069885,-0.104758897703947,-0.309077495241179,-0.32791444069885,0
"Sample49",0,0,0,0,-0.489052300658925,-0.282309104668284,-0.282309104668284,-0.267122659058378,-0.266903263244807,-0.322649403961056,0.466783077798367,0.302893327883047,0.0495407873533841,0.0797881797479672,0.269219162697088,-0.170713218222033,-0.211744575043608,-0.266038425089422,-0.170713218222033,0
"Sample50",0,0,0,0,-0.45880745082868,-0.180687897501098,-0.180687897501098,-0.230118251849904,-0.182150908566843,-0.305481219299963,0.483041669792042,0.246656303013058,0.0948233088202188,0.0272225722645035,0.327421397276778,-0.329143037166145,-0.0965936303993004,-0.275795734642366,-0.329143037166145,0
"Sample51",0,0,0,0,-0.474713743455817,-0.192030170694865,-0.192030170694865,-0.215475424959174,-0.19520935321369,-0.313092807836659,0.467794169475311,0.166968653288275,0.12608981596924,0.0950207606875345,0.352046368656618,-0.448903185544802,-0.168908478194748,-0.134691750271981,-0.448903185544802,0
"Sample52",0,0,0,0,-0.464243659263965,-0.275405252317435,-0.275405252317435,-0.277397852864909,-0.214181081055926,-0.356786238094119,0.492362507590578,0.214454653762585,0.0442226883731431,0.0231460633226799,0.311119048266018,-0.181525787902815,-0.25442458183725,-0.143785745082107,-0.181525787902815,1
"Sample53",0,0,0,0,-0.312284499268736,-0.364732533049541,-0.364732533049541,-0.354294461913153,-0.373273069102846,-0.43188697657529,0.460375815724638,0.302057552159174,0.0296418425774563,0.0359017048849367,0.297573836674866,-0.149040525082694,-0.429949021833543,0.00849477591573727,-0.149040525082694,0
"Sample54",0,0,0,0,-0.415162865422856,-0.309011663408872,-0.309011663408872,-0.356715870115678,-0.381882846410196,-0.37385501123339,0.481239630595535,0.287823092439545,0.0477520725461735,0.0982031241835853,0.25215683018117,-0.174996261443975,-0.328675481054506,-0.159481378506436,-0.174996261443975,1
"Sample55",0,0,0,0,-0.342416394399215,-0.302819263546395,-0.302819263546395,-0.33818299022864,-0.367351246228687,-0.391836230298311,0.463918230013074,0.23900891020726,0.0367452448731099,0.110637103934006,0.393048000731313,-0.171472119946246,-0.299563209968391,-0.155888005314834,-0.171472119946246,1
"Sample56",0,0,0,0,-0.42522740760702,-0.223981779935125,-0.223981779935125,-0.277568287639065,-0.225001669765106,-0.291225646492136,0.472323450696692,0.233120626318807,0.0220105125256646,0.106467373702454,0.339569083866573,-0.217764494115662,-0.231284414409057,-0.264692124961127,-0.217764494115662,1
